income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
500.0,-0.20573999999999892,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
1000.0,-0.2057400000000033,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
1500.0,-0.2141599999999983,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
2000.0,-0.21787999999999877,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
2500.0,-0.21790000000000367,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
3000.0,-0.21787999999999855,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
3500.0,-0.2178999999999983,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
4000.0,-0.22963999999999898,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
4500.0,-0.24741999999999875,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
5000.0,-0.25434000000000334,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
5500.0,-0.25817999999999836,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
6000.0,-0.27133999999999886,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
6500.0,-0.2713400000000034,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
7000.0,-0.2713599999999989,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
7500.0,-0.27135999999999855,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
8000.0,-0.27988000000000324,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
8500.0,-0.29675999999999875,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
