income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
500.0,-0.24303999999999903,-0.1579999999999984,-1.2272000000000012,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
1000.0,-0.24304000000000361,-0.1580000000000041,-1.227200000000007,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,40,80.0
1500.0,-0.25987999999999783,-0.1579999999999984,-1.2271999999999887,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
2000.0,-0.2673199999999988,-0.1579999999999984,-1.2272000000000012,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
2500.0,-0.26736000000000376,-0.1580000000000041,-1.227200000000007,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,40,80.0
3000.0,-0.2673199999999988,-0.1579999999999984,-1.2272000000000012,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
3500.0,-0.2673599999999978,-0.1579999999999984,-1.2271999999999887,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
4000.0,-0.2673199999999992,-0.1579999999999984,-1.2272000000000012,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
4500.0,-0.302079999999999,-0.1579999999999984,-1.636400000000004,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
5000.0,-0.31596000000000296,-0.1580000000000041,-1.8949000000000056,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,40,80.0
5500.0,-0.32359999999999833,-0.1579999999999984,-1.894899999999994,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
6000.0,-0.3499599999999993,-0.1579999999999984,-1.8949000000000065,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
6500.0,-0.3499200000000031,-0.1580000000000041,-1.8948999999999994,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,40,80.0
7000.0,-0.3499999999999992,-0.1579999999999984,-1.8960000000000055,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
7500.0,-0.3499599999999984,-0.1579999999999984,-1.894899999999994,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
8000.0,-0.3499600000000031,-0.1580000000000041,-1.8948999999999994,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,40,80.0
8500.0,-0.3667599999999988,-0.1579999999999984,-2.0301999999999962,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
9000.0,-0.41799999999999876,-0.1579999999999984,-2.830999999999999,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
9500.0,-0.41799999999999854,-0.1579999999999984,-2.8309999999999924,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,40,80.0
