income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
500.0,-0.22505599999999887,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
1000.0,-0.22505600000000306,-0.1580000000000041,-2.1019999999999865,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,380,76.0
1500.0,-0.2270959999999987,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
2000.0,-0.23278799999999872,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
2500.0,-0.23903600000000325,-0.1580000000000041,-2.1019999999999865,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,380,76.0
3000.0,-0.2467719999999988,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
3500.0,-0.2525599999999986,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
4000.0,-0.26801999999999887,-0.1579999999999984,-2.101999999999981,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
4500.0,-0.2823119999999989,-0.1579999999999984,-2.249600000000016,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
5000.0,-0.2883440000000031,-0.1580000000000041,-3.3159999999999967,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,380,76.0
5500.0,-0.29142399999999874,-0.1579999999999984,-3.3159999999999914,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
6000.0,-0.29787599999999875,-0.1579999999999984,-3.3159999999999914,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
6500.0,-0.30523600000000317,-0.1580000000000041,-3.3159999999999967,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,380,76.0
7000.0,-0.3174679999999988,-0.1579999999999984,-3.3159999999999914,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,380,76.0
