income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
0.0,0,176.0,True,617.76,True,0.0,False,0.0,7568.0,793.76,0.0,0.0,0.0,0.0,0.0,0.0
100.0,10000,175.84166666666667,True,615.82,True,0.0,False,0.0,7568.0,799.9950000000001,-0.15833333333333144,-1.9399999999999407,0.0,0.0,0.0,-2.0983333333332723
200.0,20000,175.68416666666667,True,613.87,True,0.0,False,0.0,7568.0,806.2208333333333,-0.15749999999999886,-1.9500000000000455,0.0,0.0,0.0,-2.1075000000000443
300.0,30000,175.52583333333334,True,611.93,True,0.0,False,0.0,7568.0,812.4558333333333,-0.15833333333333144,-1.9400000000000546,0.0,0.0,0.0,-2.098333333333386
400.0,40000,175.36833333333334,True,609.38,True,0.0,False,0.0,7568.0,818.0816666666667,-0.15749999999999886,-2.5499999999999545,0.0,0.0,0.0,-2.7074999999999534
500.0,50000,175.21,True,606.22,True,0.0,False,0.0,7568.0,823.0966666666667,-0.15833333333333144,-3.159999999999968,0.0,0.0,0.0,-3.3183333333332996
600.0,60000,175.05166666666665,True,603.07,True,0.0,False,0.0,7568.0,828.1216666666667,-0.15833333333335986,-3.1499999999999773,0.0,0.0,0.0,-3.308333333333337
700.0,70000,174.89416666666668,True,599.91,True,0.0,False,0.0,7568.0,833.1375,-0.15749999999997044,-3.1600000000000823,0.0,0.0,0.0,-3.3175000000000527
800.0,80000,174.73583333333332,True,596.75,True,0.0,False,0.0,7568.0,838.1524999999999,-0.15833333333335986,-3.159999999999968,0.0,0.0,0.0,-3.318333333333328
900.0,90000,174.57833333333335,True,593.59,True,0.0,False,0.0,7568.0,843.1683333333334,-0.15749999999997044,-3.159999999999968,0.0,0.0,0.0,-3.3174999999999386
1000.0,100000,174.42,True,590.43,True,0.0,False,0.0,7568.0,848.1833333333333,-0.15833333333335986,-3.1600000000000823,0.0,0.0,0.0,-3.318333333333442
1100.0,110000,174.26166666666666,True,587.27,True,0.0,False,0.0,7568.0,853.1983333333333,-0.15833333333333144,-3.159999999999968,0.0,0.0,0.0,-3.3183333333332996
1200.0,120000,174.10416666666666,True,584.11,True,0.0,False,0.0,7568.0,858.2141666666666,-0.15749999999999886,-3.159999999999968,0.0,0.0,0.0,-3.317499999999967
1300.0,130000,173.94583333333333,True,580.95,True,0.0,False,0.0,7568.0,863.2291666666667,-0.15833333333333144,-3.159999999999968,0.0,0.0,0.0,-3.3183333333332996
1400.0,140000,173.78833333333333,True,577.79,True,0.0,False,0.0,7568.0,868.2449999999999,-0.15749999999999886,-3.1600000000000823,0.0,0.0,0.0,-3.317500000000081
1500.0,150000,173.63,True,574.64,True,0.0,False,0.0,7568.0,873.27,-0.15833333333333144,-3.1499999999999773,0.0,0.0,0.0,-3.3083333333333087
