income,marginal_rate_total_weighted_avg,marginal_rate_total_min,marginal_rate_total_max,disposable_income_weighted_avg
0.0,0.0,0.0,0.0,123.2
500.0,-0.11059999999999887,-0.1579999999999984,0.0,164.31366666666668
1000.0,-0.11060000000000288,-0.1580000000000041,0.0,205.42733333333334
1500.0,-0.11059999999999887,-0.1579999999999984,0.0,246.541
2000.0,-0.11059999999999887,-0.1579999999999984,0.0,287.6546666666667
2500.0,-0.11060000000000288,-0.1580000000000041,0.0,328.7683333333333
3000.0,-0.11059999999999887,-0.1579999999999984,0.0,369.882
3500.0,-0.11059999999999887,-0.1579999999999984,0.0,410.9956666666667
4000.0,-0.11059999999999887,-0.1579999999999984,0.0,452.1093333333333
4500.0,-0.11059999999999887,-0.1579999999999984,0.0,493.223
5000.0,-0.11060000000000288,-0.1580000000000041,0.0,534.3366666666666
5500.0,-0.11059999999999887,-0.1579999999999984,0.0,575.4503333333334
6000.0,-0.11059999999999887,-0.1579999999999984,0.0,616.564
6500.0,-0.11060000000000288,-0.1580000000000041,0.0,657.6776666666666
7000.0,-0.11059999999999887,-0.1579999999999984,0.0,698.7913333333333
7500.0,-0.11059999999999887,-0.1579999999999984,0.0,739.905
8000.0,-0.11060000000000288,-0.1580000000000041,0.0,781.0186666666668
8500.0,-0.11059999999999887,-0.1579999999999984,0.0,822.1323333333332
9000.0,-0.11059999999999887,-0.1579999999999984,0.0,863.246
9500.0,-0.11059999999999887,-0.1579999999999984,0.0,904.3596666666667
10000.0,-0.11059999999999887,-0.1579999999999984,0.0,945.4733333333334
10500.0,-0.11060000000000288,-0.1580000000000041,0.0,986.5870000000001
11000.0,-0.11059999999999887,-0.1579999999999984,0.0,1027.7006666666668
11500.0,-0.11059999999999887,-0.1579999999999984,0.0,1068.8143333333333
12000.0,-0.11060000000000288,-0.1580000000000041,0.0,1109.9279999999999
12500.0,-0.11059999999999887,-0.1579999999999984,0.0,1151.0416666666667
13000.0,-0.11059999999999887,-0.1579999999999984,0.0,1192.1553333333334
13500.0,-0.11060000000000288,-0.1580000000000041,0.0,1233.269
14000.0,-0.11059999999999887,-0.1579999999999984,0.0,1274.3826666666666
14500.0,-0.11059999999999887,-0.1579999999999984,0.0,1315.4963333333333
15000.0,-0.11060000000000288,-0.1580000000000041,0.0,1356.61
15500.0,-0.11059999999999887,-0.1579999999999984,0.0,1397.7236666666668
16000.0,-0.11059999999999887,-0.1579999999999984,0.0,1438.8373333333334
16500.0,-0.11059999999999887,-0.1579999999999984,0.0,1479.951
17000.0,-0.11059999999999887,-0.1579999999999984,0.0,1521.0646666666667
17500.0,-0.11060000000000288,-0.1580000000000041,0.0,1562.1783333333333
18000.0,-0.11059999999999887,-0.1579999999999984,0.0,1603.292
18500.0,-0.11059999999999887,-0.1579999999999984,0.0,1644.4056666666665
19000.0,-0.11060000000000288,-0.1580000000000041,0.0,1685.5193333333336
19500.0,-0.11059999999999887,-0.1579999999999984,0.0,1726.633
20000.0,-0.11059999999999887,-0.1579999999999984,0.0,1767.7466666666664
20500.0,0.41939999999999716,0.3719999999999959,0.53,1808.6395000000002
21000.0,36.8194,36.772,36.93,1834.3656666666666
21500.0,36.81939999999999,36.77199999999999,36.92999999999999,1860.0918333333334
22000.0,36.8194,36.772000000000006,36.93000000000001,1885.8180000000002
22500.0,36.81939999999999,36.77199999999999,36.92999999999999,1911.5441666666668
23000.0,36.81939999999999,36.77199999999999,36.92999999999999,1937.2703333333334
23500.0,36.81939999999999,36.77199999999999,36.92999999999999,1962.9965000000004
24000.0,36.81940000000002,36.77200000000002,36.93000000000002,1988.7226666666666
24500.0,36.81939999999997,36.77199999999997,36.92999999999997,2014.4488333333334
25000.0,36.81939999999997,36.77199999999997,36.92999999999997,2038.3550000000002
25500.0,36.81940000000015,36.772000000000155,36.930000000000156,2061.3403333333335
26000.0,36.819399999999916,36.77199999999992,36.92999999999992,2084.325666666666
26500.0,36.819399999999916,36.77199999999992,36.92999999999992,2107.311
27000.0,36.8194000000001,36.772000000000105,36.930000000000106,2130.296333333333
27500.0,36.819399999999916,36.77199999999992,36.92999999999992,2153.2816666666668
28000.0,36.819399999999916,36.77199999999992,36.92999999999992,2176.2670000000003
28500.0,36.8194000000001,36.772000000000105,36.930000000000106,2199.2523333333334
29000.0,36.819399999999916,36.77199999999992,36.92999999999992,2222.237666666667
29500.0,36.819399999999916,36.77199999999992,36.92999999999992,2245.223
30000.0,36.8194000000001,36.772000000000105,36.930000000000106,2268.2083333333335
30500.0,36.81940000000002,36.77200000000002,36.93000000000002,2291.1936666666666
31000.0,36.81939999999983,36.771999999999835,36.929999999999836,2314.179
31500.0,36.8194000000001,36.772000000000105,36.930000000000106,2337.164333333333
32000.0,36.819399999999916,36.77199999999992,36.92999999999992,2360.149666666667
32500.0,36.8194000000001,36.772000000000105,36.930000000000106,2383.1349999999998
33000.0,36.819399999999916,36.77199999999992,36.92999999999992,2406.1203333333337
33500.0,36.8194000000001,36.772000000000105,36.930000000000106,2429.1056666666673
34000.0,36.8194000000001,36.772000000000105,36.930000000000106,2452.0910000000003
34500.0,36.81939999999993,36.77199999999993,36.92999999999992,2475.0763333333334
35000.0,36.819399999999916,36.77199999999992,36.92999999999992,2498.0616666666665
35500.0,36.8194000000001,36.772000000000105,36.930000000000106,2521.0469999999996
36000.0,36.819399999999916,36.77199999999992,36.92999999999992,2544.0323333333336
36500.0,36.819399999999916,36.77199999999992,36.92999999999992,2567.0176666666666
37000.0,36.8194000000001,36.772000000000105,36.930000000000106,2590.0029999999997
