ID,StatusVanBewoning,RegioS,Perioden,TotaleWoningvoorraad_1,Koopwoningen_2,TotaalHuurwoningen_3,EigendomWoningcorporatie_4,EigendomOverigeVerhuurders_5,EigendomOnbekend_6
51,Totaal,West-Nederland (LD),2021,3851851.0,2041474.0,1801192.0,1191920.0,609272.0,9185.0
52,Totaal,West-Nederland (LD),2022,3891537.0,2063467.0,1820026.0,1193877.0,626149.0,8044.0
53,Totaal,West-Nederland (LD),2023,3930019.0,2080195.0,1843152.0,1196956.0,646196.0,6672.0
54,Totaal,West-Nederland (LD),2024,3969640.0,2105894.0,1858382.0,1201209.0,657173.0,5364.0
55,Totaal,West-Nederland (LD),2025,4007042.0,2142844.0,1859078.0,1204896.0,654182.0,5120.0
56,Totaal,Zuid-Nederland (LD),2012,1560443.0,954604.0,593063.0,440541.0,152522.0,12776.0
57,Totaal,Zuid-Nederland (LD),2013,1576411.0,962230.0,605154.0,444827.0,160327.0,9027.0
58,Totaal,Zuid-Nederland (LD),2014,1599446.0,967709.0,617107.0,449473.0,167634.0,14630.0
59,Totaal,Zuid-Nederland (LD),2015,1610784.0,971153.0,625176.0,451752.0,173424.0,14455.0
60,Totaal,Zuid-Nederland (LD),2016,1621032.0,976384.0,627585.0,448761.0,178824.0,17063.0
61,Totaal,Zuid-Nederland (LD),2017,1631393.0,979841.0,635343.0,448090.0,187253.0,16209.0
62,Totaal,Zuid-Nederland (LD),2018,1645403.0,995124.0,634282.0,446926.0,187356.0,15997.0
63,Totaal,Zuid-Nederland (LD),2019,1659929.0,1014374.0,640558.0,453711.0,186847.0,4997.0
64,Totaal,Zuid-Nederland (LD),2020,1673842.0,1020383.0,650469.0,454223.0,196246.0,2990.0
65,Totaal,Zuid-Nederland (LD),2021,1688043.0,1027707.0,657386.0,454744.0,202642.0,2950.0
66,Totaal,Zuid-Nederland (LD),2022,1704849.0,1037619.0,664194.0,456050.0,208144.0,3036.0
67,Totaal,Zuid-Nederland (LD),2023,1723034.0,1045621.0,674913.0,458910.0,216003.0,2500.0
68,Totaal,Zuid-Nederland (LD),2024,1739450.0,1056278.0,681128.0,461034.0,220094.0,2044.0
69,Totaal,Zuid-Nederland (LD),2025,1753142.0,1068795.0,682575.0,463200.0,219375.0,1772.0
70,Totaal,Groningen (PV),2012,265332.0,148239.0,113659.0,80729.0,32930.0,3434.0
71,Totaal,Groningen (PV),2013,267466.0,148656.0,116356.0,81662.0,34694.0,2454.0
72,Totaal,Groningen (PV),2014,271087.0,148758.0,119653.0,82403.0,37250.0,2676.0
73,Totaal,Groningen (PV),2015,272774.0,148949.0,121738.0,85546.0,36192.0,2087.0
74,Totaal,Groningen (PV),2016,274719.0,149548.0,122718.0,84886.0,37832.0,2453.0
75,Totaal,Groningen (PV),2017,276728.0,150040.0,124247.0,84418.0,39829.0,2441.0
76,Totaal,Groningen (PV),2018,277113.0,151975.0,122368.0,82673.0,39695.0,2770.0
77,Totaal,Groningen (PV),2019,279662.0,154284.0,124154.0,83606.0,40548.0,1224.0
78,Totaal,Groningen (PV),2020,282047.0,154584.0,126577.0,83182.0,43395.0,886.0
79,Totaal,Groningen (PV),2021,285012.0,154924.0,129577.0,82335.0,47242.0,511.0
80,Totaal,Groningen (PV),2022,287568.0,156070.0,130807.0,82121.0,48686.0,691.0
81,Totaal,Groningen (PV),2023,290562.0,157104.0,132971.0,82773.0,50198.0,487.0
82,Totaal,Groningen (PV),2024,292812.0,158617.0,133780.0,82555.0,51225.0,415.0
83,Totaal,Groningen (PV),2025,294248.0,160526.0,133368.0,82669.0,50699.0,354.0
84,Totaal,Fryslân (PV),2012,287340.0,177956.0,107223.0,81989.0,25234.0,2161.0
85,Totaal,Fryslân (PV),2013,289380.0,179362.0,108550.0,82117.0,26433.0,1468.0
86,Totaal,Fryslân (PV),2014,292180.0,179270.0,110097.0,81917.0,28180.0,2813.0
87,Totaal,Fryslân (PV),2015,294169.0,179774.0,110938.0,82448.0,28490.0,3457.0
88,Totaal,Fryslân (PV),2016,295540.0,180232.0,111384.0,81158.0,30226.0,3924.0
89,Totaal,Fryslân (PV),2017,296463.0,180920.0,111652.0,80717.0,30935.0,3891.0
90,Totaal,Fryslân (PV),2018,298425.0,183424.0,110940.0,80727.0,30213.0,4061.0
91,Totaal,Fryslân (PV),2019,300238.0,187147.0,112051.0,82033.0,30018.0,1040.0
92,Totaal,Fryslân (PV),2020,302578.0,187891.0,114198.0,81764.0,32434.0,489.0
93,Totaal,Fryslân (PV),2021,304693.0,188927.0,115309.0,81582.0,33727.0,457.0
94,Totaal,Fryslân (PV),2022,306633.0,190414.0,115806.0,81393.0,34413.0,413.0
95,Totaal,Fryslân (PV),2023,308768.0,191615.0,116822.0,81268.0,35554.0,331.0
96,Totaal,Fryslân (PV),2024,310787.0,192885.0,117573.0,81325.0,36248.0,329.0
97,Totaal,Fryslân (PV),2025,312294.0,194439.0,117586.0,81292.0,36294.0,269.0
